Title,Year,Client,Description,Skills,Collaborators,Category,Ordre
THE CHOSEN ONE,2025,Kcorp,"E-sport content featuring dynamic sound design, motion graphics, and color 
grading for Kcorp's competitive gaming brand.",Sound-Design; Motion,Kcorp,E-sport,3
Kaaris,2025,Kaaris,"Music videos for Kaaris featuring dynamic editing, urban aesthetics, and 
cinematic storytelling across multiple tracks.",Montage; Motion; Prise de vue;Sound-Design; Prise de vue,Kaaris,Music,2
Djadja & Dinaz - Foot Korner,2025,Foot Korner,Music video collaboration featuring dynamic editing and urban culture.,Prise de vue; Sound-Design,Djadja; Dinaz,Music,
Gin Khao,2025,Gin Khao,Music video for Gin Khao with dynamic editing and visual effects.,Motion; Sound-Design,Gin Khao,Perso,
OTP_Lol,2024,OTP / ZOXI,Video for Zoxii featuring dynamic editing and urban aesthetics.,Montage; Motion,Zoxii,E-sport,
SteelSeries,2025,SteelSeries,Music video for Steel with dynamic editing and visual effects.,Prise de vue;Montage; Motion,Steel,E-sport,1
Rain GG,2025,Rain GG,Gaming content for Rain GG with dynamic editing and visual effects.,Motion; Sound-Design,Rain GG,E-sport,
Galions,2025,Galions,videos for Galions featuring dynamic editing and urban aesthetics.,Montage; Motion; Sound-Design;,Galions; ,E-sport,
Les Rois sans couronnes,2025,Documentaire,Personal documentary project featuring storytelling and atmospheric editing.,Prise de vue; Motion; Sound-Design; Montage; Prise de vue,MJM Graphic Design ,Perso,4
Voyage au Japon,2025,Japon,"Travel documentary capturing the essence of Japanese culture through
 storytelling and atmospheric editing.",Montage; Prise de vue,,Perso,
Juyru,2025,Juyru,Juyru,Prise de vue; Montage,MJM Graphic Design ,Perso,
Peet Aftermovie,2025,Peet,Peet aftermovie pour son concert a la cigale ,Montage; Motion; Prise de vue,Baco Music,Music,
?,2025,?,?,Motion; Montage; Prise de vue,MJM Graphic Design ,Perso,
Rimey 24HC,2025,Rimey,Rimey 24HC,Sound-Design; Montage; Motion,,E-sport,
EJ Unlimited,2025,EJ Unlimited,EJ unlimited,Sound-Design; Montage; Motion ,MJM Graphic Design ,Perso,
